Slice 0:
113.248489 187.418869 0.855529
105.919571 189.213211 0.840508
114.509369 191.207901 0.904713
106.057663 193.062943 0.926136
101.189148 193.979385 0.976033
98.787384 194.485397 0.992433
115.756088 196.612961 0.855027
106.183014 198.567337 0.902343
101.557663 198.800613 0.966076
99.596176 198.543015 0.941889
118.235580 202.294144 0.908340
109.924561 203.566788 0.903256
105.705139 203.384781 0.928199
103.582947 202.640305 0.850156
119.667709 205.547195 0.968794
114.420609 206.534500 0.950751
111.025558 206.500687 0.934439
108.878189 205.970840 0.875896
51.801834 148.450089 0.837905
59.483414 144.372696 0.869239
65.981125 140.975510 0.847520
72.135696 141.148697 0.769508
77.306595 144.168594 0.735612
75.231491 139.941757 0.890744
80.633652 142.573990 0.854748
81.170731 145.652237 0.873370
79.850113 147.728104 0.839065
77.103271 143.335648 0.833702
82.564560 146.756851 0.873741
82.014313 149.703568 0.878294
79.958572 151.173660 0.843645
78.265640 148.708237 0.815627
83.304520 151.395798 0.863730
83.261414 153.467300 0.863468
81.667343 154.338058 0.824633
